"search-number","evaluation","evals-requested-so-far","power-plants*","birth-rate*","polluting-rate*","planting-rate*","initial-population*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","0","0","5","0.1","50","""682131856""","0","0","0","0","0"
"1","2","500","0","0","5","0.1","50","""1800303185""","0","0","0","0","0"
"1","3","500","0","0","5","0.1","50","""-934775599""","0","0","0","0","0"
"1","4","500","0","0","5","0.1","50","""-323958937""","0","0","0","0","0"
"1","5","500","0","0","5","0.1","50","""1536904808""","0","0","0","0","0"
"1","6","500","0","0","5","0.1","50","""1132260301""","0","0","0","0","0"
"1","7","500","0","0","5","0.1","50","""1960872154""","0","0","0","0","0"
"1","8","500","0","0","5","0.1","50","""926510455""","0","0","0","0","0"
"1","9","500","0","0","5","0.1","50","""1042174277""","0","0","0","0","0"
"1","10","500","0","0","5","0.1","50","""2013666011""","0","0","0","0","0"
"1","11","500","16","0.02","5","0.1","90","""745849723""","0","0","0","0","0"
"1","12","500","16","0.02","5","0.1","90","""-1562122330""","0","0","0","0","0"
"1","13","500","16","0.02","5","0.1","90","""1863615554""","0","0","0","0","0"
"1","14","500","16","0.02","5","0.1","90","""-1293946335""","0","0","0","0","0"
"1","15","500","16","0.02","5","0.1","90","""40184861""","0","0","0","0","0"
"1","16","500","16","0.02","5","0.1","90","""-504338573""","0","0","0","0","0"
"1","17","500","16","0.02","5","0.1","90","""-1823371737""","0","0","0","0","0"
"1","18","500","16","0.02","5","0.1","90","""-783620551""","0","0","0","0","0"
"1","19","500","16","0.02","5","0.1","90","""-521378382""","0","0","0","0","0"
"1","20","500","16","0.02","5","0.1","90","""-870473263""","0","0","0","0","0"
"1","21","500","13","0.09","5","0.07","20","""11918199""","577","577","577","0","577"
"1","22","500","13","0.09","5","0.07","20","""844009637""","583","583","583","0","583"
"1","23","500","13","0.09","5","0.07","20","""830185459""","883","883","883","0","883"
"1","24","500","13","0.09","5","0.07","20","""932131828""","714","714","714","0","714"
"1","25","500","13","0.09","5","0.07","20","""-292336666""","1102","1102","1102","0","1102"
"1","26","500","13","0.09","5","0.07","20","""-1701891702""","1125","1125","1125","0","1125"
"1","27","500","13","0.09","5","0.07","20","""-1582467059""","444","444","444","0","444"
"1","28","500","13","0.09","5","0.07","20","""-883790153""","2637","2637","2637","0","2637"
"1","29","500","13","0.09","5","0.07","20","""-204118711""","381","381","381","0","381"
"1","30","500","13","0.09","5","0.07","20","""916316267""","116","116","116","0","116"
"1","31","500","3","0.04","5","0.04","60","""-1249279699""","0","0","0","0","0"
"1","32","500","3","0.04","5","0.04","60","""-1919334842""","0","0","0","0","0"
"1","33","500","3","0.04","5","0.04","60","""1554159108""","0","0","0","0","0"
"1","34","500","3","0.04","5","0.04","60","""-636804695""","0","0","0","0","0"
"1","35","500","3","0.04","5","0.04","60","""-447722093""","0","0","0","0","0"
"1","36","500","3","0.04","5","0.04","60","""691557293""","0","0","0","0","0"
"1","37","500","3","0.04","5","0.04","60","""658162783""","0","0","0","0","0"
"1","38","500","3","0.04","5","0.04","60","""-2141864701""","0","0","0","0","0"
"1","39","500","3","0.04","5","0.04","60","""-1047615771""","0","0","0","0","0"
"1","40","500","3","0.04","5","0.04","60","""-1797118693""","3","3","3","0","3"
"1","41","500","19","0.05","5","0.06","70","""1187688822""","27","27","27","0","27"
"1","42","500","19","0.05","5","0.06","70","""393195458""","83","83","83","0","83"
"1","43","500","19","0.05","5","0.06","70","""1061168502""","24","24","24","0","24"
"1","44","500","19","0.05","5","0.06","70","""1459129410""","5","5","5","0","5"
"1","45","500","19","0.05","5","0.06","70","""-1527851779""","23","23","23","0","23"
"1","46","500","19","0.05","5","0.06","70","""-275606414""","14","14","14","0","14"
"1","47","500","19","0.05","5","0.06","70","""1231061463""","5","5","5","0","5"
"1","48","500","19","0.05","5","0.06","70","""-717836370""","11","11","11","0","11"
"1","49","500","19","0.05","5","0.06","70","""-1190972676""","20","20","20","0","20"
"1","50","500","19","0.05","5","0.06","70","""-2126867962""","13","13","13","0","13"
"1","51","500","9","0.07","5","0.02","0","""2111276377""","0","0","0","0","0"
"1","52","500","9","0.07","5","0.02","0","""2094363681""","0","0","0","0","0"
"1","53","500","9","0.07","5","0.02","0","""-1146698384""","0","0","0","0","0"
"1","54","500","9","0.07","5","0.02","0","""-810063975""","0","0","0","0","0"
"1","55","500","9","0.07","5","0.02","0","""103339075""","0","0","0","0","0"
"1","56","500","9","0.07","5","0.02","0","""-319658498""","0","0","0","0","0"
"1","57","500","9","0.07","5","0.02","0","""1996747511""","0","0","0","0","0"
"1","58","500","9","0.07","5","0.02","0","""1943996547""","0","0","0","0","0"
"1","59","500","9","0.07","5","0.02","0","""-1984531580""","0","0","0","0","0"
"1","60","500","9","0.07","5","0.02","0","""1758200212""","0","0","0","0","0"
"1","61","500","13","0.01","5","0.04","80","""551086134""","0","0","0","0","0"
"1","62","500","13","0.01","5","0.04","80","""-1515810665""","0","0","0","0","0"
"1","63","500","13","0.01","5","0.04","80","""-133208453""","0","0","0","0","0"
"1","64","500","13","0.01","5","0.04","80","""1439948769""","0","0","0","0","0"
"1","65","500","13","0.01","5","0.04","80","""-1089146958""","0","0","0","0","0"
"1","66","500","13","0.01","5","0.04","80","""660163965""","0","0","0","0","0"
"1","67","500","13","0.01","5","0.04","80","""-63537182""","0","0","0","0","0"
"1","68","500","13","0.01","5","0.04","80","""1596238831""","0","0","0","0","0"
"1","69","500","13","0.01","5","0.04","80","""2128154279""","0","0","0","0","0"
"1","70","500","13","0.01","5","0.04","80","""1279076062""","0","0","0","0","0"
"1","71","500","16","0.04","5","0.06","100","""-679221928""","0","0","0","0","0"
"1","72","500","16","0.04","5","0.06","100","""535271390""","16","16","16","0","16"
"1","73","500","16","0.04","5","0.06","100","""-666627415""","19","19","19","0","19"
"1","74","500","16","0.04","5","0.06","100","""-1167391571""","24","24","24","0","24"
"1","75","500","16","0.04","5","0.06","100","""-226669234""","0","0","0","0","0"
"1","76","500","16","0.04","5","0.06","100","""1381113514""","6","6","6","0","6"
"1","77","500","16","0.04","5","0.06","100","""2063796409""","1","1","1","0","1"
"1","78","500","16","0.04","5","0.06","100","""1620779026""","0","0","0","0","0"
"1","79","500","16","0.04","5","0.06","100","""1997608946""","0","0","0","0","0"
"1","80","500","16","0.04","5","0.06","100","""872787834""","3","3","3","0","3"
"1","81","500","13","0.07","5","0.07","90","""703016441""","309","309","309","0","309"
"1","82","500","13","0.07","5","0.07","90","""1682144003""","878","878","878","0","878"
"1","83","500","13","0.07","5","0.07","90","""1369531949""","300","300","300","0","300"
"1","84","500","13","0.07","5","0.07","90","""-2077784535""","259","259","259","0","259"
