"search-number","evaluation","evals-requested-so-far","power-plants*","birth-rate*","polluting-rate*","planting-rate*","initial-population*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","0","0","5","0.1","50","""-290139299""","0","0","0","0","0"
"1","2","160","0","0","5","0.1","50","""-748869905""","0","0","0","0","0"
"1","3","160","0","0","5","0.1","50","""-1935079177""","0","0","0","0","0"
"1","4","160","0","0","5","0.1","50","""1730704303""","0","0","0","0","0"
"1","5","160","0","0","5","0.1","50","""1905687179""","0","0","0","0","0"
"1","6","160","0","0","5","0.1","50","""1442766292""","0","0","0","0","0"
"1","7","160","0","0","5","0.1","50","""2131174365""","0","0","0","0","0"
"1","8","160","0","0","5","0.1","50","""1678685292""","0","0","0","0","0"
"1","9","160","0","0","5","0.1","50","""1283201375""","0","0","0","0","0"
"1","10","160","0","0","5","0.1","50","""-1779718214""","0","0","0","0","0"
"1","11","160","16","0.02","5","0.1","90","""1309797215""","0","0","0","0","0"
"1","12","160","16","0.02","5","0.1","90","""871080048""","0","0","0","0","0"
"1","13","160","16","0.02","5","0.1","90","""344756608""","0","0","0","0","0"
"1","14","160","16","0.02","5","0.1","90","""-850440232""","0","0","0","0","0"
"1","15","160","16","0.02","5","0.1","90","""-1750037405""","2","2","2","0","2"
"1","16","160","16","0.02","5","0.1","90","""-1076408367""","0","0","0","0","0"
"1","17","160","16","0.02","5","0.1","90","""1299371904""","0","0","0","0","0"
"1","18","160","16","0.02","5","0.1","90","""1508399916""","0","0","0","0","0"
"1","19","160","16","0.02","5","0.1","90","""-105814666""","2","2","2","0","2"
"1","20","160","16","0.02","5","0.1","90","""415676970""","0","0","0","0","0"
"1","21","160","13","0.09","5","0.07","20","""1867314107""","2084","2084","2084","0","2084"
"1","22","160","13","0.09","5","0.07","20","""1673240072""","376","376","376","0","376"
"1","23","160","13","0.09","5","0.07","20","""565037044""","1107","1107","1107","0","1107"
"1","24","160","13","0.09","5","0.07","20","""-1603704343""","977","977","977","0","977"
"1","25","160","13","0.09","5","0.07","20","""852411933""","1744","1744","1744","0","1744"
"1","26","160","13","0.09","5","0.07","20","""1439889445""","2024","2024","2024","0","2024"
"1","27","160","13","0.09","5","0.07","20","""1731645345""","537","537","537","0","537"
"1","28","160","13","0.09","5","0.07","20","""-37467488""","1214","1214","1214","0","1214"
"1","29","160","13","0.09","5","0.07","20","""-621071893""","2285","2285","2285","0","2285"
"1","30","160","13","0.09","5","0.07","20","""-1292640152""","92","92","92","0","92"
"1","31","160","3","0.04","5","0.04","60","""582940612""","0","0","0","0","0"
"1","32","160","3","0.04","5","0.04","60","""-840311632""","0","0","0","0","0"
"1","33","160","3","0.04","5","0.04","60","""-653570445""","0","0","0","0","0"
"1","34","160","3","0.04","5","0.04","60","""-899894821""","0","0","0","0","0"
"1","35","160","3","0.04","5","0.04","60","""-2144082829""","0","0","0","0","0"
"1","36","160","3","0.04","5","0.04","60","""428519182""","0","0","0","0","0"
"1","37","160","3","0.04","5","0.04","60","""-174713757""","0","0","0","0","0"
"1","38","160","3","0.04","5","0.04","60","""1019622547""","0","0","0","0","0"
"1","39","160","3","0.04","5","0.04","60","""-1727903932""","0","0","0","0","0"
"1","40","160","3","0.04","5","0.04","60","""2136085368""","0","0","0","0","0"
"1","41","160","19","0.05","5","0.06","70","""-1737760226""","0","0","0","0","0"
"1","42","160","19","0.05","5","0.06","70","""2013596987""","51","51","51","0","51"
"1","43","160","19","0.05","5","0.06","70","""-311505654""","2","2","2","0","2"
"1","44","160","19","0.05","5","0.06","70","""1926289227""","28","28","28","0","28"
"1","45","160","19","0.05","5","0.06","70","""-967555347""","0","0","0","0","0"
"1","46","160","19","0.05","5","0.06","70","""438586697""","38","38","38","0","38"
"1","47","160","19","0.05","5","0.06","70","""-588448269""","28","28","28","0","28"
"1","48","160","19","0.05","5","0.06","70","""-188281410""","27","27","27","0","27"
"1","49","160","19","0.05","5","0.06","70","""-846187695""","104","104","104","0","104"
"1","50","160","19","0.05","5","0.06","70","""-910796139""","6","6","6","0","6"
"1","51","160","9","0.07","5","0.02","0","""-392720770""","0","0","0","0","0"
"1","52","160","9","0.07","5","0.02","0","""-989732096""","0","0","0","0","0"
"1","53","160","9","0.07","5","0.02","0","""-27625127""","0","0","0","0","0"
"1","54","160","9","0.07","5","0.02","0","""-854515599""","0","0","0","0","0"
"1","55","160","9","0.07","5","0.02","0","""-1416623146""","0","0","0","0","0"
"1","56","160","9","0.07","5","0.02","0","""1813404818""","0","0","0","0","0"
"1","57","160","9","0.07","5","0.02","0","""106011546""","0","0","0","0","0"
"1","58","160","9","0.07","5","0.02","0","""1288438012""","0","0","0","0","0"
"1","59","160","9","0.07","5","0.02","0","""1390835661""","0","0","0","0","0"
"1","60","160","9","0.07","5","0.02","0","""-657047866""","0","0","0","0","0"
"1","61","160","13","0.01","5","0.04","80","""2007118033""","0","0","0","0","0"
"1","62","160","13","0.01","5","0.04","80","""609609229""","0","0","0","0","0"
"1","63","160","13","0.01","5","0.04","80","""-295973095""","0","0","0","0","0"
"1","64","160","13","0.01","5","0.04","80","""-681424407""","0","0","0","0","0"
"1","65","160","13","0.01","5","0.04","80","""1547907836""","0","0","0","0","0"
"1","66","160","13","0.01","5","0.04","80","""928118935""","0","0","0","0","0"
"1","67","160","13","0.01","5","0.04","80","""-194182376""","0","0","0","0","0"
"1","68","160","13","0.01","5","0.04","80","""-1356959550""","0","0","0","0","0"
"1","69","160","13","0.01","5","0.04","80","""-815913708""","0","0","0","0","0"
"1","70","160","13","0.01","5","0.04","80","""-2018714151""","0","0","0","0","0"
"1","71","160","16","0.04","5","0.06","100","""-1764931930""","8","8","8","0","8"
"1","72","160","16","0.04","5","0.06","100","""2018372088""","0","0","0","0","0"
"1","73","160","16","0.04","5","0.06","100","""327717368""","17","17","17","0","17"
"1","74","160","16","0.04","5","0.06","100","""2023130597""","1","1","1","0","1"
"1","75","160","16","0.04","5","0.06","100","""-1157372704""","57","57","57","0","57"
"1","76","160","16","0.04","5","0.06","100","""1250513185""","1","1","1","0","1"
"1","77","160","16","0.04","5","0.06","100","""462041981""","0","0","0","0","0"
"1","78","160","16","0.04","5","0.06","100","""-643798691""","7","7","7","0","7"
"1","79","160","16","0.04","5","0.06","100","""536427226""","1","1","1","0","1"
"1","80","160","16","0.04","5","0.06","100","""-569745756""","25","25","25","0","25"
"1","81","160","13","0.07","5","0.07","90","""-704773156""","340","340","340","0","340"
"1","82","160","13","0.07","5","0.07","90","""674367434""","448","448","448","0","448"
"1","83","160","13","0.07","5","0.07","90","""-505762203""","581","581","581","0","581"
"1","84","160","13","0.07","5","0.07","90","""1959412972""","1414","1414","1414","0","1414"
"1","85","160","13","0.07","5","0.07","90","""-423268929""","114","114","114","0","114"
"1","86","160","13","0.07","5","0.07","90","""-2108546126""","418","418","418","0","418"
"1","87","160","13","0.07","5","0.07","90","""-501864751""","504","504","504","0","504"
"1","88","160","13","0.07","5","0.07","90","""-2016668679""","839","839","839","0","839"
"1","89","160","13","0.07","5","0.07","90","""1754806291""","814","814","814","0","814"
"1","90","160","13","0.07","5","0.07","90","""-374651296""","319","319","319","0","319"
"1","91","160","0","0.09","5","0.08","90","""1262421076""","251","251","251","0","251"
"1","92","160","0","0.09","5","0.08","90","""1920147392""","227","227","227","0","227"
"1","93","160","0","0.09","5","0.08","90","""-805761093""","180","180","180","0","180"
"1","94","160","0","0.09","5","0.08","90","""1761430927""","310","310","310","0","310"
"1","95","160","0","0.09","5","0.08","90","""-36075598""","188","188","188","0","188"
"1","96","160","0","0.09","5","0.08","90","""-1572270692""","250","250","250","0","250"
"1","97","160","0","0.09","5","0.08","90","""-1312665135""","145","145","145","0","145"
"1","98","160","0","0.09","5","0.08","90","""778440570""","128","128","128","0","128"
"1","99","160","0","0.09","5","0.08","90","""-1746870890""","348","348","348","0","348"
"1","100","160","0","0.09","5","0.08","90","""-1471956641""","294","294","294","0","294"
"1","101","160","19","0.1","5","0.05","0","""-1610977810""","0","0","0","0","0"
"1","102","160","19","0.1","5","0.05","0","""-365478318""","0","0","0","0","0"
"1","103","160","19","0.1","5","0.05","0","""-2146336673""","0","0","0","0","0"
"1","104","160","19","0.1","5","0.05","0","""581993481""","0","0","0","0","0"
"1","105","160","19","0.1","5","0.05","0","""-189947864""","0","0","0","0","0"
"1","106","160","19","0.1","5","0.05","0","""749759567""","0","0","0","0","0"
"1","107","160","19","0.1","5","0.05","0","""-1267085176""","0","0","0","0","0"
"1","108","160","19","0.1","5","0.05","0","""-1400992405""","0","0","0","0","0"
"1","109","160","19","0.1","5","0.05","0","""-57353481""","0","0","0","0","0"
"1","110","160","19","0.1","5","0.05","0","""-1455834370""","0","0","0","0","0"
"1","111","160","8","0.07","5","0.03","40","""1549482832""","31","31","31","0","31"
"1","112","160","8","0.07","5","0.03","40","""-1439169626""","0","0","0","0","0"
"1","113","160","8","0.07","5","0.03","40","""-1206082921""","12","12","12","0","12"
"1","114","160","8","0.07","5","0.03","40","""-980972159""","80","80","80","0","80"
"1","115","160","8","0.07","5","0.03","40","""-2024516421""","37","37","37","0","37"
"1","116","160","8","0.07","5","0.03","40","""833760582""","80","80","80","0","80"
"1","117","160","8","0.07","5","0.03","40","""-706330388""","5","5","5","0","5"
"1","118","160","8","0.07","5","0.03","40","""1800699211""","44","44","44","0","44"
"1","119","160","8","0.07","5","0.03","40","""1046810489""","3","3","3","0","3"
"1","120","160","8","0.07","5","0.03","40","""1255531848""","8","8","8","0","8"
"1","121","160","1","0.07","5","0.1","40","""206287992""","16","16","16","0","16"
"1","122","160","1","0.07","5","0.1","40","""-1064464661""","1","1","1","0","1"
"1","123","160","1","0.07","5","0.1","40","""425527099""","17","17","17","0","17"
"1","124","160","1","0.07","5","0.1","40","""286523739""","13","13","13","0","13"
"1","125","160","1","0.07","5","0.1","40","""-336147415""","4","4","4","0","4"
"1","126","160","1","0.07","5","0.1","40","""-878182548""","0","0","0","0","0"
"1","127","160","1","0.07","5","0.1","40","""-1124250938""","1","1","1","0","1"
"1","128","160","1","0.07","5","0.1","40","""43812586""","1","1","1","0","1"
"1","129","160","1","0.07","5","0.1","40","""-1688740142""","3","3","3","0","3"
"1","130","160","1","0.07","5","0.1","40","""-1238727509""","0","0","0","0","0"
"1","131","160","3","0.06","5","0.04","60","""319462961""","0","0","0","0","0"
"1","132","160","3","0.06","5","0.04","60","""1807631949""","0","0","0","0","0"
"1","133","160","3","0.06","5","0.04","60","""-1714324074""","0","0","0","0","0"
"1","134","160","3","0.06","5","0.04","60","""2056343980""","0","0","0","0","0"
"1","135","160","3","0.06","5","0.04","60","""1735404147""","11","11","11","0","11"
"1","136","160","3","0.06","5","0.04","60","""-1870565637""","3","3","3","0","3"
"1","137","160","3","0.06","5","0.04","60","""-1534175983""","0","0","0","0","0"
"1","138","160","3","0.06","5","0.04","60","""1668968586""","27","27","27","0","27"
"1","139","160","3","0.06","5","0.04","60","""449737870""","14","14","14","0","14"
"1","140","160","3","0.06","5","0.04","60","""217968178""","0","0","0","0","0"
"1","141","160","16","0.1","5","0.02","10","""1928689231""","6847","6847","6847","0","6847"
"1","142","160","16","0.1","5","0.02","10","""-984450392""","4633","4633","4633","0","4633"
"1","143","160","16","0.1","5","0.02","10","""1223232490""","5614","5614","5614","0","5614"
"1","144","160","16","0.1","5","0.02","10","""-926275980""","1774","1774","1774","0","1774"
"1","145","160","16","0.1","5","0.02","10","""-1035081553""","11469","11469","11469","0","11469"
