"search-number","evaluation","power-plants*","birth-rate*","polluting-rate*","planting-rate*","initial-population*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","0","0","5","0.1","50","0","10","0","0"
"1","20","16","0.02","5","0.1","90","0.4","10","0.4","0"
"1","30","13","0.09","5","0.07","20","1244","10","1244","851"
"1","40","3","0.04","5","0.04","60","0","10","1244","851"
"1","50","19","0.05","5","0.06","70","28.4","10","1244","851"
"1","60","9","0.07","5","0.02","0","0","10","1244","851"
"1","70","13","0.01","5","0.04","80","0","10","1244","851"
"1","80","16","0.04","5","0.06","100","11.7","10","1244","851"
"1","90","13","0.07","5","0.07","90","579.1","10","1244","851"
"1","100","0","0.09","5","0.08","90","232.1","10","1244","851"
"1","110","19","0.1","5","0.05","0","0","10","1244","851"
"1","120","8","0.07","5","0.03","40","30","10","1244","851"
"1","130","1","0.07","5","0.1","40","5.6","10","1244","851"
"1","140","3","0.06","5","0.04","60","5.5","10","1244","851"
"1","150","16","0.1","5","0.02","10","4796.4","10","4796.4","1018.6"
"1","160","20","0.09","5","0.04","40","5591.7","10","5591.7","5469.6"
"1","170","5","0.02","5","0.06","30","0","10","5591.7","5469.6"
"1","180","7","0.09","5","0","70","1751.3","10","5591.7","5469.6"
"1","190","6","0.05","5","0.04","80","3.5","10","5591.7","5469.6"
"1","200","10","0.06","5","0.09","70","54.5","10","5591.7","5469.6"
